Nearest_Stop,station_complex_id,location,Latitude,Longitude,borough,routes,ridership
"(193, '104 St')",N137,"(40.68171, -73.83768)",40.68171,-73.83768,Q,A,310699
"(194, '111 St')",N139,"(40.68433, -73.83216)",40.68433,-73.83216,Q,A,464484
"(195, 'Ozone Park-Lefferts Blvd')",N141,"(40.68595, -73.8258)",40.68595,-73.8258,Q,A,1332023
"(196, 'Aqueduct Racetrack')",N181,"(40.66824, -73.83406)",40.66824,-73.83406,Q,A,149859
"(196, 'Aqueduct Racetrack')",N181A,"(40.6721, -73.83592)",40.6721,-73.83592,Q,A,206320
"(198, 'Howard Beach-JFK Airport')",N182,"(40.66048, -73.8303)",40.66048,-73.8303,Q,A,593692
"(199, 'Broad Channel')",N183,"(40.60838, -73.81593)",40.60838,-73.81593,Q,"S,A",56478
"(200, 'Beach 90 St')",N184,"(40.58804, -73.81364)",40.58804,-73.81364,Q,"S,A",174661
"(201, 'Beach 98 St')",N185,"(40.58531, -73.82056)",40.58531,-73.82056,Q,"S,A",96421
"(202, 'Beach 105 St')",N186,"(40.58321, -73.82756)",40.58321,-73.82756,Q,"S,A",60157
"(203, 'Rockaway Park-Beach 116 St')",N187,"(40.5809, -73.83559)",40.5809,-73.83559,Q,"S,A",157744
"(204, 'Beach 67 St')",N191,"(40.59093, -73.79692)",40.59093,-73.79692,Q,A,445156
"(205, 'Beach 60 St')",N192,"(40.59237, -73.78852)",40.59237,-73.78852,Q,A,351710
"(206, 'Beach 44 St')",N193,"(40.59294, -73.77602)",40.59294,-73.77602,Q,A,132911
"(207, 'Beach 36 St')",N194,"(40.5954, -73.76817)",40.5954,-73.76817,Q,A,177201
"(208, 'Beach 25 St')",N195,"(40.60007, -73.76135)",40.60007,-73.76135,Q,A,319112
"(209, 'Far Rockaway-Mott Av')",N196,"(40.604, -73.7554)",40.604,-73.7554,Q,A,794294
"(220, '155 St')",N202,"(40.83014, -73.93821)",40.83014,-73.93821,M,"B,D",625840
"(604, '161 St-Yankee Stadium')",N203,"(40.828, -73.92565)",40.828,-73.92565,BX,"4,B,D",5070233
"(218, '167 St')",N207,"(40.83377, -73.91844)",40.83377,-73.91844,BX,"B,D",1483457
"(217, '170 St')",N209,"(40.83931, -73.9134)",40.83931,-73.9134,BX,"B,D",1113745
"(216, '174-175 Sts')",N210,"(40.8459, -73.91013)",40.8459,-73.91013,BX,"B,D",858389
"(215, 'Tremont Av')",N213,"(40.85041, -73.90523)",40.85041,-73.90523,BX,"B,D",1427213
"(214, '182-183 Sts')",N215,"(40.85609, -73.90074)",40.85609,-73.90074,BX,"B,D",858068
"(213, 'Fordham Rd')",N217,"(40.8613, -73.89775)",40.8613,-73.89775,BX,"B,D",1854762
"(212, 'Kingsbridge Rd')",N221,"(40.86698, -73.89351)",40.86698,-73.89351,BX,"B,D",1193335
"(211, 'Bedford Park Blvd')",N222,"(40.87325, -73.88714)",40.87325,-73.88714,BX,"B,D",1207920
"(211, 'Bedford Park Blvd')",N224,"(40.87481, -73.87885)",40.87481,-73.87885,BX,D,1440655
"(277, '7 Av')",N301,"(40.76286, -73.98164)",40.76286,-73.98164,M,"E,B,D",3222878
"(276, '5 Av/53 St')",N303,"(40.76017, -73.97523)",40.76017,-73.97523,M,"M,E",3844542
"(612, 'Lexington Av/53 St')",N305,"(40.75755, -73.96906)",40.75755,-73.96906,M,"M,E,,6",10041744
"(606, 'Court Sq')",N307,"(40.74784, -73.94383)",40.74784,-73.94383,Q,"M,E,G,7",4564428
"(273, 'Queens Plaza')",N309A,"(40.74897, -73.93724)",40.74897,-73.93724,Q,"M,E,R",2783996
"(272, '36 St')",N312,"(40.75204, -73.92878)",40.75204,-73.92878,Q,"M,R",754628
"(271, 'Steinway St')",N315,"(40.75688, -73.92074)",40.75688,-73.92074,Q,"M,R",2657420
"(270, '46 St')",N316,"(40.75631, -73.91333)",40.75631,-73.91333,Q,"M,R",1612997
"(269, 'Northern Blvd')",N318,"(40.75288, -73.90601)",40.75288,-73.90601,Q,"M,R",1299013
"(268, '65 St')",N322,"(40.74967, -73.89845)",40.74967,-73.89845,Q,"M,R",682224
"(266, 'Elmhurst Av')",N325A,"(40.74245, -73.88202)",40.74245,-73.88202,Q,"M,R",2448371
"(265, 'Grand Av-Newtown')",N327,"(40.73701, -73.87722)",40.73701,-73.87722,Q,"M,R",3621383
"(264, 'Woodhaven Blvd')",N329,"(40.7331, -73.86923)",40.7331,-73.86923,Q,"M,R",3941776
"(263, '63 Dr-Rego Park')",N330B,"(40.72985, -73.8616)",40.72985,-73.8616,Q,"M,R",2854509
"(262, '67 Av')",N331,"(40.72652, -73.85272)",40.72652,-73.85272,Q,"M,R",1516645
"(261, 'Forest Hills-71 Av')",N333A,"(40.72169, -73.84452)",40.72169,-73.84452,Q,"F,M,E,R",5051017
"(260, '75 Av')",N334B,"(40.71833, -73.83733)",40.71833,-73.83733,Q,"F,E",628620
"(259, 'Kew Gardens-Union Tpke')",N336,"(40.71444, -73.83101)",40.71444,-73.83101,Q,"F,E",4578892
"(258, 'Briarwood')",N337,"(40.70918, -73.82057)",40.70918,-73.82057,Q,"F,E",997580
"(257, 'Sutphin Blvd')",N338B,"(40.70546, -73.81071)",40.70546,-73.81071,Q,F,850598
"(256, 'Parsons Blvd')",N339A,"(40.70757, -73.80333)",40.70757,-73.80333,Q,F,1407991
"(255, '169 St')",N340A,"(40.71047, -73.7936)",40.71047,-73.7936,Q,F,1550895
"(255, '169 St')",N343,"(40.71265, -73.78381)",40.71265,-73.78381,Q,F,3850935
"(282, '21 St')",N401,"(40.74406, -73.94972)",40.74406,-73.94972,Q,G,378867
"(283, 'Greenpoint Av')",N405,"(40.73135, -73.95445)",40.73135,-73.95445,BK,G,2115543
"(284, 'Nassau Av')",N408A,"(40.72464, -73.95128)",40.72464,-73.95128,BK,G,1994585
"(286, 'Broadway')",N412,"(40.70609, -73.95031)",40.70609,-73.95031,BK,G,1010642
"(287, 'Flushing Av')",N414,"(40.70038, -73.95023)",40.70038,-73.95023,BK,G,634441
"(288, 'Myrtle-Willoughby Avs')",N415,"(40.69457, -73.94904)",40.69457,-73.94904,BK,G,1195883
"(289, 'Bedford-Nostrand Avs')",N417,"(40.68963, -73.95352)",40.68963,-73.95352,BK,G,1843210
"(290, 'Classon Av')",N419,"(40.68887, -73.96007)",40.68887,-73.96007,BK,G,1222545
"(291, 'Clinton-Washington Avs')",N420B,"(40.68809, -73.96684)",40.68809,-73.96684,BK,G,1115311
"(292, 'Fulton St')",N422,"(40.68712, -73.97537)",40.68712,-73.97537,BK,G,1350386
"(225, '47-50 Sts-Rockefeller Ctr')",N500,"(40.75866, -73.98133)",40.75866,-73.98133,M,"F,M,B,D",10074254
"(228, '23 St')",N508,"(40.74288, -73.99282)",40.74288,-73.99282,M,"F,M",4881545
"(601, '14 St')",N512,"(40.73823, -73.99621)",40.73823,-73.99621,M,"F,M,3,1,2,,L",9056442
"(231, 'Grand St')",N520,"(40.71827, -73.99375)",40.71827,-73.99375,M,"B,D",5040193
"(232, '2 Av')",N523,"(40.7234, -73.98994)",40.7234,-73.98994,M,F,3636842
"(625, 'Delancey St-Essex St')",N525,"(40.71861, -73.98743)",40.71861,-73.98743,M,"F,M,J,Z,",6083972
"(234, 'East Broadway')",N529,"(40.71371, -73.99017)",40.71371,-73.99017,M,F,2882388
"(235, 'York St')",N530,"(40.7014, -73.98675)",40.7014,-73.98675,BK,F,2594644
"(236, 'Bergen St')",N532,"(40.68615, -73.99086)",40.68615,-73.99086,BK,"F,G",2347806
"(237, 'Carroll St')",N535,"(40.6803, -73.99505)",40.6803,-73.99505,BK,"F,G",2293219
"(238, 'Smith-9 Sts')",N536,"(40.67358, -73.99596)",40.67358,-73.99596,BK,"F,G",895504
"(240, '7 Av')",N539A,"(40.66627, -73.98031)",40.66627,-73.98031,BK,"F,G",2426485
"(241, '15 St-Prospect Park')",N542,"(40.66037, -73.97949)",40.66037,-73.97949,BK,"F,G",1234131
"(242, 'Fort Hamilton Pkwy')",N543,"(40.65078, -73.97578)",40.65078,-73.97578,BK,"F,G",1183591
"(243, 'Church Av')",N546,"(40.64404, -73.97968)",40.64404,-73.97968,BK,"F,G",2004752
"(244, 'Ditmas Av')",N548,"(40.63612, -73.97817)",40.63612,-73.97817,BK,F,776078
"(245, '18 Av')",N549,"(40.62975, -73.97697)",40.62975,-73.97697,BK,F,676399
"(246, 'Avenue I')",N551,"(40.62532, -73.97613)",40.62532,-73.97613,BK,F,360432
"(247, 'Bay Pkwy')",N553,"(40.62077, -73.97527)",40.62077,-73.97527,BK,F,247551
"(248, 'Avenue N')",N555,"(40.61514, -73.9742)",40.61514,-73.9742,BK,F,538523
"(249, 'Avenue P')",N556,"(40.60894, -73.97302)",40.60894,-73.97302,BK,F,480632
"(250, 'Kings Hwy')",N557,"(40.60322, -73.97236)",40.60322,-73.97236,BK,F,661056
"(251, 'Avenue U')",N559,"(40.59606, -73.97336)",40.59606,-73.97336,BK,F,348790
"(252, 'Avenue X')",N561,"(40.58962, -73.97425)",40.58962,-73.97425,BK,F,478592
"(253, 'Neptune Av')",N562,"(40.58101, -73.97457)",40.58101,-73.97457,BK,F,299143
"(224, '57 St')",N600,"(40.76397, -73.97745)",40.76397,-73.97745,M,F,3063595
"(223, 'Lexington Av/63 St')",N601,"(40.76463, -73.96611)",40.76463,-73.96611,M,"F,Q",4144678
"(222, 'Roosevelt Island')",N602,"(40.75914, -73.95326)",40.75914,-73.95326,M,F,1819291
"(461, 'Queensboro Plaza')",N603,"(40.7542, -73.94283)",40.7542,-73.94283,Q,F,2255469
"(280, 'Jamaica-Van Wyck')",N604,"(40.70256, -73.81686)",40.70256,-73.81686,Q,E,914601
"(279, 'Sutphin Blvd-Archer Av-JFK Airport')",N605,"(40.70049, -73.80797)",40.70049,-73.80797,Q,"J,E,Z",4908463
"(279, 'Sutphin Blvd-Archer Av-JFK Airport')",N606,"(40.70215, -73.80111)",40.70215,-73.80111,Q,"J,E,Z",5480066
"(477, '72 St')",N700,"(40.7688, -73.95843)",40.7688,-73.95843,M,Q,5972601
"(476, '86 St')",N701,"(40.77789, -73.95179)",40.77789,-73.95179,M,Q,4981183
"(396, '96 St')",N702,"(40.78432, -73.94715)",40.78432,-73.94715,M,Q,3632699
"(635, 'Whitehall St-South Ferry')",R101,"(40.70309, -74.01299)",40.70309,-74.01299,M,"1,R,,W",5340535
"(329, 'Rector St')",R103,"(40.70751, -74.01379)",40.70751,-74.01379,M,1,1469029
"(328, 'WTC Cortlandt')",R106,"(40.71183, -74.01219)",40.71183,-74.01219,M,1,2475877
"(333, 'Wall St')",R111,"(40.70682, -74.0091)",40.70682,-74.0091,M,"3,2",3209247
"(327, 'Chambers St')",R116,"(40.71548, -74.00927)",40.71548,-74.00927,M,"3,1,2",3362306
"(326, 'Franklin St')",R117,"(40.71932, -74.00689)",40.71932,-74.00689,M,1,1129085
"(325, 'Canal St')",R119,"(40.72285, -74.00628)",40.72285,-74.00628,M,1,1020171
"(324, 'Houston St')",R123,"(40.72825, -74.00536)",40.72825,-74.00536,M,1,2445172
"(323, 'Christopher St-Sheridan Sq')",R125,"(40.73342, -74.00291)",40.73342,-74.00291,M,1,2494812
"(321, '18 St')",R129,"(40.74104, -73.99787)",40.74104,-73.99787,M,1,1535750
"(320, '23 St')",R131,"(40.74408, -73.99566)",40.74408,-73.99566,M,1,2794035
"(319, '28 St')",R133,"(40.74722, -73.99336)",40.74722,-73.99336,M,1,2632254
"(318, '34 St-Penn Station')",R135,"(40.75037, -73.99106)",40.75037,-73.99106,M,"3,1,2",13891761
"(316, '50 St')",R154,"(40.76173, -73.98385)",40.76173,-73.98385,M,1,5079777
"(314, '66 St-Lincoln Center')",R160,"(40.77344, -73.98221)",40.77344,-73.98221,M,1,4120561
"(313, '72 St')",R161B,"(40.77845, -73.98197)",40.77845,-73.98197,M,"3,1,2",7948655
"(312, '79 St')",R162,"(40.78394, -73.97992)",40.78394,-73.97992,M,1,3233729
"(311, '86 St')",R164,"(40.78864, -73.97622)",40.78864,-73.97622,M,1,3745802
"(310, '96 St')",R168,"(40.79392, -73.97232)",40.79392,-73.97232,M,"3,1,2",7196838
"(309, '103 St')",R170,"(40.79945, -73.96838)",40.79945,-73.96838,M,1,2623471
"(308, 'Cathedral Pkwy (110 St)')",R172,"(40.80397, -73.96685)",40.80397,-73.96685,M,1,2662737
"(307, '116 St-Columbia University')",R173,"(40.80772, -73.96411)",40.80772,-73.96411,M,1,2979011
"(306, '125 St')",R174,"(40.81558, -73.95837)",40.81558,-73.95837,M,1,1808101
