,station_complex_id,location,Latitude,Longitude,Nearest_Stop,borough,routes,ridership,Connections
225,N508,"(40.74288, -73.99282)",40.74288,-73.99282,"(228, '23 St')",M,"F,M",4881545,"[(607, '34 St-Herald Sq'), (601, '14 St')]"
226,N512,"(40.73823, -73.99621)",40.73823,-73.99621,"(601, '14 St')",M,"F,M,3,1,2,,L",9056442,"[(228, '23 St'), (619, 'Broadway-Lafayette St'), (321, '18 St'), (323, 'Christopher St-Sheridan Sq')]"
227,N520,"(40.71827, -73.99375)",40.71827,-73.99375,"(231, 'Grand St')",M,"B,D",5040193,"[(619, 'Broadway-Lafayette St'), (232, '2 Av')]"
228,N523,"(40.7234, -73.98994)",40.7234,-73.98994,"(232, '2 Av')",M,F,3636842,"[(231, 'Grand St'), (625, 'Delancey St-Essex St')]"
229,N525,"(40.71861, -73.98743)",40.71861,-73.98743,"(625, 'Delancey St-Essex St')",M,"F,M,J,Z,",6083972,"[(101, 'Marcy Av'), (103, 'Bowery'), (232, '2 Av'), (234, 'East Broadway')]"
230,N529,"(40.71371, -73.99017)",40.71371,-73.99017,"(234, 'East Broadway')",M,F,2882388,"[(625, 'Delancey St-Essex St'), (235, 'York St')]"
231,N530,"(40.7014, -73.98675)",40.7014,-73.98675,"(235, 'York St')",BK,F,2594644,"[(234, 'East Broadway'), (236, 'Bergen St')]"
232,N532,"(40.68615, -73.99086)",40.68615,-73.99086,"(236, 'Bergen St')",BK,"F,G",2347806,"[(235, 'York St'), (237, 'Carroll St')]"
233,N535,"(40.6803, -73.99505)",40.6803,-73.99505,"(237, 'Carroll St')",BK,"F,G",2293219,"[(236, 'Bergen St'), (238, 'Smith-9 Sts')]"
234,N536,"(40.67358, -73.99596)",40.67358,-73.99596,"(238, 'Smith-9 Sts')",BK,"F,G",895504,"[(237, 'Carroll St'), (608, '4 Av-9 St')]"
235,N539A,"(40.66627, -73.98031)",40.66627,-73.98031,"(240, '7 Av')",BK,"F,G",2426485,"[(608, '4 Av-9 St'), (241, '15 St-Prospect Park')]"
