,station_complex_id,borough,routes,latitude,longitude,date,ridership
3980,R309,M,3,40.82387924194336,-73.93647003173828,2022-11-30,54774
3981,R309,M,3,40.82387924194336,-73.93647003173828,2022-12-31,55269
3982,R309,M,3,40.82387924194336,-73.93647003173828,2023-01-31,55852
3983,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-02-28,237506
3984,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-03-31,311540
3985,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-04-30,292968
3986,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-05-31,294882
3987,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-06-30,287309
3988,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-07-31,251090
3989,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-08-31,270069
3990,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-09-30,283018
3991,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-10-31,289773
3992,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-11-30,289950
3993,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2022-12-31,278097
3994,R310,BX,"2,5",40.81610870361328,-73.91775512695312,2023-01-31,277050
3995,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-02-28,70734
3996,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-03-31,96047
3997,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-04-30,84477
3998,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-05-31,91606
3999,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-06-30,85102
4000,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-07-31,71684
4001,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-08-31,69213
4002,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-09-30,64764
4003,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-10-31,77040
4004,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-11-30,82485
