,from,to,total_ridership,distance
183,"(194, '111 St')","(193, '104 St')",990289.0644445191,549.1137822214782
184,"(195, 'Ozone Park-Lefferts Blvd')","(194, '111 St')",759654.7391429127,566.1181686640673
185,"(196, 'Aqueduct Racetrack')","(195, 'Ozone Park-Lefferts Blvd')",76368.95578778222,2089.5626003543016
188,"(199, 'Broad Channel')","(198, 'Howard Beach-JFK Airport')",3807.509893991478,5918.258783595127
189,"(200, 'Beach 90 St')","(199, 'Broad Channel')",4719.3957253878825,2270.800191517114
190,"(201, 'Beach 98 St')","(200, 'Beach 90 St')",5934.855889621357,658.1186577204313
191,"(202, 'Beach 105 St')","(201, 'Beach 98 St')",6657.272912336563,635.5762932963019
192,"(203, 'Rockaway Park-Beach 116 St')","(202, 'Beach 105 St')",7105.597985700489,725.22867930113
193,"(204, 'Beach 67 St')","(203, 'Rockaway Park-Beach 116 St')",7531.010309741897,3450.3175708560752
194,"(205, 'Beach 60 St')","(204, 'Beach 67 St')",7962.870593537339,727.4630620977208
195,"(206, 'Beach 44 St')","(205, 'Beach 60 St')",7560.31819466646,1058.1095633377054
196,"(207, 'Beach 36 St')","(206, 'Beach 44 St')",6998.826937611934,715.889163837196
197,"(208, 'Beach 25 St')","(207, 'Beach 36 St')",6121.676265708545,775.3562278190519
198,"(209, 'Far Rockaway-Mott Av')","(208, 'Beach 25 St')",4568.60916353638,665.6061178337425
200,"(212, 'Kingsbridge Rd')","(211, 'Bedford Park Blvd')",132359.77065254364,878.8855274011754
201,"(213, 'Fordham Rd')","(212, 'Kingsbridge Rd')",258639.10096079492,725.4754566440441
202,"(214, '182-183 Sts')","(213, 'Fordham Rd')",441418.55435516173,630.8989722174725
203,"(215, 'Tremont Av')","(214, '182-183 Sts')",526024.6812635096,735.9903422175539
204,"(216, '174-175 Sts')","(215, 'Tremont Av')",658208.603122778,649.6055842886176
205,"(217, '170 St')","(216, '174-175 Sts')",736115.6421334982,782.9429382411271
206,"(218, '167 St')","(217, '170 St')",832560.7802509635,747.3795942428469
207,"(604, '161 St-Yankee Stadium')","(218, '167 St')",954073.6388818049,890.8077813779183
208,"(220, '155 St')","(604, '161 St-Yankee Stadium')",72040.49169185478,1085.3029998520035
210,"(223, 'Lexington Av/63 St')","(222, 'Roosevelt Island')",22311.13577576512,1242.4486195414352
211,"(224, '57 St')","(223, 'Lexington Av/63 St')",58574.66753255776,957.5859066145756
212,"(225, '47-50 Sts-Rockefeller Ctr')","(224, '57 St')",50291.99552459236,674.7065999872912
215,"(228, '23 St')","(607, '34 St-Herald Sq')",24549724.761287387,869.4361656803269
216,"(601, '14 St')","(228, '23 St')",22326955.17034419,590.6119350434791
219,"(232, '2 Av')","(231, 'Grand St')",2765345.921625939,655.2805408072978
220,"(625, 'Delancey St-Essex St')","(232, '2 Av')",4666307.211966575,554.4690368962426
221,"(234, 'East Broadway')","(625, 'Delancey St-Essex St')",5114318.934551397,571.3993746540389
222,"(235, 'York St')","(234, 'East Broadway')",4305805.50451575,1399.743238840262
223,"(236, 'Bergen St')","(235, 'York St')",3676046.3392410013,1731.00092011996
224,"(237, 'Carroll St')","(236, 'Bergen St')",3192050.594565005,739.3047922916119
